2022-03-17 06:26:03,076 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-17 06:26:03,076 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-17 06:26:03,076 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647487563.0760386, 'user': {'account_name': 'Guest'}} на server
2022-03-17 06:26:03,076 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-17 06:26:03,076 INFO     client.py Принят ответ от server 200 : OK
2022-03-18 19:33:08,735 DEBUG    client.py Создан объект parser
2022-03-18 19:33:08,750 INFO     client.py Запущен client с параметрами: адрес сервера: 127.0.0.1, порт: 7777
2022-03-18 19:33:08,750 DEBUG    client.py Сформировано presence сообщение для пользователя Guest
2022-03-18 19:33:08,750 DEBUG    client.py Отправлено сообщение {'action': 'presence', 'time': 1647621188.75075, 'user': {'account_name': 'Guest'}} на server
2022-03-18 19:33:08,750 DEBUG    client.py Разбор сообщения от сервера: {'response': 200}
2022-03-18 19:33:08,750 INFO     client.py Принят ответ от server 200 : OK
